FEN,Move,ELO,CPL,Is_Cheating,ELO_Range
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4,1001,2,0,1001-1500
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,e7e6,-1,6,0,
rnbqkbnr/pppp1ppp/4p3/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,c2c4,1001,4,0,1001-1500
rnbqkbnr/pppp1ppp/4p3/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,d7d5,-1,3,0,
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,b1c3,1001,3,0,1001-1500
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,f8e7,-1,2,0,
rnbqk1nr/ppp1bppp/4p3/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,g1f3,1001,4,0,1001-1500
rnbqk1nr/ppp1bppp/4p3/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 3 4,g8f6,-1,5,0,
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 4 5,c1f4,1001,2,0,1001-1500
rnbqk2r/ppp1bppp/4pn2/3p4/2PP1B2/2N2N2/PP2PPPP/R2QKB1R b KQkq - 5 5,e8g8,-1,8,0,
rnbq1rk1/ppp1bppp/4pn2/3p4/2PP1B2/2N2N2/PP2PPPP/R2QKB1R w KQ - 6 6,e2e3,1001,8,0,1001-1500
rnbq1rk1/ppp1bppp/4pn2/3p4/2PP1B2/2N1PN2/PP3PPP/R2QKB1R b KQ - 0 6,a7a6,-1,9,0,
rnbq1rk1/1pp1bppp/p3pn2/3p4/2PP1B2/2N1PN2/PP3PPP/R2QKB1R w KQ - 0 7,h2h3,1001,20,0,1001-1500
rnbq1rk1/1pp1bppp/p3pn2/3p4/2PP1B2/2N1PN1P/PP3PP1/R2QKB1R b KQ - 0 7,d5c4,-1,3,0,
rnbq1rk1/1pp1bppp/p3pn2/8/2pP1B2/2N1PN1P/PP3PP1/R2QKB1R w KQ - 0 8,f1c4,1001,21,0,1001-1500
rnbq1rk1/1pp1bppp/p3pn2/8/2BP1B2/2N1PN1P/PP3PP1/R2QK2R b KQ - 0 8,b7b5,-1,23,0,
rnbq1rk1/2p1bppp/p3pn2/1p6/2BP1B2/2N1PN1P/PP3PP1/R2QK2R w KQ - 0 9,c4b3,1001,36,0,1001-1500
rnbq1rk1/2p1bppp/p3pn2/1p6/3P1B2/1BN1PN1P/PP3PP1/R2QK2R b KQ - 1 9,c8b7,-1,2,0,
rn1q1rk1/1bp1bppp/p3pn2/1p6/3P1B2/1BN1PN1P/PP3PP1/R2QK2R w KQ - 2 10,b3c2,1001,6,0,1001-1500
rn1q1rk1/1bp1bppp/p3pn2/1p6/3P1B2/2N1PN1P/PPB2PP1/R2QK2R b KQ - 3 10,b8d7,-1,15,0,
r2q1rk1/1bpnbppp/p3pn2/1p6/3P1B2/2N1PN1P/PPB2PP1/R2QK2R w KQ - 4 11,e1g1,1001,4,1,1001-1500
r2q1rk1/1bpnbppp/p3pn2/1p6/3P1B2/2N1PN1P/PPB2PP1/R2Q1RK1 b - - 5 11,a8c8,-1,3,1,
2rq1rk1/1bpnbppp/p3pn2/1p6/3P1B2/2N1PN1P/PPB2PP1/R2Q1RK1 w - - 6 12,d1e2,1001,14,1,1001-1500
2rq1rk1/1bpnbppp/p3pn2/1p6/3P1B2/2N1PN1P/PPB1QPP1/R4RK1 b - - 7 12,c7c5,-1,1,1,
2rq1rk1/1b1nbppp/p3pn2/1pp5/3P1B2/2N1PN1P/PPB1QPP1/R4RK1 w - - 0 13,d4c5,1001,3,1,1001-1500
2rq1rk1/1b1nbppp/p3pn2/1pP5/5B2/2N1PN1P/PPB1QPP1/R4RK1 b - - 0 13,c8c5,-1,5,1,
3q1rk1/1b1nbppp/p3pn2/1pr5/5B2/2N1PN1P/PPB1QPP1/R4RK1 w - - 0 14,e3e4,1001,4,1,1001-1500
3q1rk1/1b1nbppp/p3pn2/1pr5/4PB2/2N2N1P/PPB1QPP1/R4RK1 b - - 0 14,e6e5,-1,59,0,
3q1rk1/1b1nbppp/p4n2/1pr1p3/4PB2/2N2N1P/PPB1QPP1/R4RK1 w - - 0 15,f4e3,1001,6,1,1001-1500
3q1rk1/1b1nbppp/p4n2/1pr1p3/4P3/2N1BN1P/PPB1QPP1/R4RK1 b - - 1 15,c5c4,-1,62,0,
3q1rk1/1b1nbppp/p4n2/1p2p3/2r1P3/2N1BN1P/PPB1QPP1/R4RK1 w - - 2 16,c2b3,1001,62,0,1001-1500
3q1rk1/1b1nbppp/p4n2/1p2p3/2r1P3/1BN1BN1P/PP2QPP1/R4RK1 b - - 3 16,c4c7,-1,7,1,
3q1rk1/1brnbppp/p4n2/1p2p3/4P3/1BN1BN1P/PP2QPP1/R4RK1 w - - 4 17,f1d1,1001,8,1,1001-1500
3q1rk1/1brnbppp/p4n2/1p2p3/4P3/1BN1BN1P/PP2QPP1/R2R2K1 b - - 5 17,d8c8,-1,4,0,
2q2rk1/1brnbppp/p4n2/1p2p3/4P3/1BN1BN1P/PP2QPP1/R2R2K1 w - - 6 18,a1c1,1001,6,0,1001-1500
2q2rk1/1brnbppp/p4n2/1p2p3/4P3/1BN1BN1P/PP2QPP1/2RR2K1 b - - 7 18,b7e4,-1,6,0,
2q2rk1/2rnbppp/p4n2/1p2p3/4b3/1BN1BN1P/PP2QPP1/2RR2K1 w - - 0 19,c3e4,1001,6,1,1001-1500
2q2rk1/2rnbppp/p4n2/1p2p3/4N3/1B2BN1P/PP2QPP1/2RR2K1 b - - 0 19,f6e4,-1,5,0,
2q2rk1/2rnbppp/p7/1p2p3/4n3/1B2BN1P/PP2QPP1/2RR2K1 w - - 0 20,c1c7,1001,16,0,1001-1500
2q2rk1/2Rnbppp/p7/1p2p3/4n3/1B2BN1P/PP2QPP1/3R2K1 b - - 0 20,c8c7,-1,2,0,
5rk1/2qnbppp/p7/1p2p3/4n3/1B2BN1P/PP2QPP1/3R2K1 w - - 0 21,f3e5,1001,15,1,1001-1500
5rk1/2qnbppp/p7/1p2N3/4n3/1B2B2P/PP2QPP1/3R2K1 b - - 0 21,d7e5,-1,2,0,
5rk1/2q1bppp/p7/1p2n3/4n3/1B2B2P/PP2QPP1/3R2K1 w - - 0 22,e3f4,1001,7,1,1001-1500
5rk1/2q1bppp/p7/1p2n3/4nB2/1B5P/PP2QPP1/3R2K1 b - - 1 22,e7d6,-1,9,0,
5rk1/2q2ppp/p2b4/1p2n3/4nB2/1B5P/PP2QPP1/3R2K1 w - - 2 23,e2e4,1001,4,1,1001-1500
5rk1/2q2ppp/p2b4/1p2n3/4QB2/1B5P/PP3PP1/3R2K1 b - - 0 23,f8e8,-1,139,0,
4r1k1/2q2ppp/p2b4/1p2n3/4QB2/1B5P/PP3PP1/3R2K1 w - - 1 24,f4e5,1001,153,0,1001-1500
4r1k1/2q2ppp/p2b4/1p2B3/4Q3/1B5P/PP3PP1/3R2K1 b - - 0 24,d6e5,-1,418,0,
4r1k1/2q2ppp/p7/1p2b3/4Q3/1B5P/PP3PP1/3R2K1 w - - 0 25,f2f4,1001,1,1,1001-1500
4r1k1/2q2ppp/p7/1p2b3/4QP2/1B5P/PP4P1/3R2K1 b - - 0 25,a6a5,-1,10,1,
4r1k1/2q2ppp/8/pp2b3/4QP2/1B5P/PP4P1/3R2K1 w - - 0 26,f4e5,1001,2,0,1001-1500
4r1k1/2q2ppp/8/pp2P3/4Q3/1B5P/PP4P1/3R2K1 b - - 0 26,a5a4,-1,6,1,
4r1k1/2q2ppp/8/1p2P3/p3Q3/1B5P/PP4P1/3R2K1 w - - 0 27,b3d5,1001,0,1,1001-1500
4r1k1/2q2ppp/8/1p1BP3/p3Q3/7P/PP4P1/3R2K1 b - - 1 27,e8e5,-1,3,0,
6k1/2q2ppp/8/1p1Br3/p3Q3/7P/PP4P1/3R2K1 w - - 0 28,e4f4,1001,31,0,1001-1500
6k1/2q2ppp/8/1p1Br3/p4Q2/7P/PP4P1/3R2K1 b - - 1 28,c7c5,-1,174,0,
6k1/5ppp/8/1pqBr3/p4Q2/7P/PP4P1/3R2K1 w - - 2 29,g1h2,1001,20,0,1001-1500
6k1/5ppp/8/1pqBr3/p4Q2/7P/PP4PK/3R4 b - - 3 29,c5e7,-1,21,1,
6k1/4qppp/8/1p1Br3/p4Q2/7P/PP4PK/3R4 w - - 4 30,d5f7,1001,2,1,1001-1500
6k1/4qBpp/8/1p2r3/p4Q2/7P/PP4PK/3R4 b - - 0 30,e7f7,-1,49,0,
6k1/5qpp/8/1p2r3/p4Q2/7P/PP4PK/3R4 w - - 0 31,f4e5,1001,16,1,1001-1500
6k1/5qpp/8/1p2Q3/p7/7P/PP4PK/3R4 b - - 0 31,h7h6,-1,46,0,
6k1/5qp1/7p/1p2Q3/p7/7P/PP4PK/3R4 w - - 0 32,e5b5,1001,16,0,1001-1500
6k1/5qp1/7p/1Q6/p7/7P/PP4PK/3R4 b - - 0 32,f7f4,-1,20,0,
6k1/6p1/7p/1Q6/p4q2/7P/PP4PK/3R4 w - - 1 33,h2g1,1001,38,0,1001-1500
6k1/6p1/7p/1Q6/p4q2/7P/PP4P1/3R2K1 b - - 2 33,f4e3,-1,11,0,
6k1/6p1/7p/1Q6/p7/4q2P/PP4P1/3R2K1 w - - 3 34,g1h2,1001,39,0,1001-1500
6k1/6p1/7p/1Q6/p7/4q2P/PP4PK/3R4 b - - 4 34,e3f4,-1,6,0,
6k1/6p1/7p/1Q6/p4q2/7P/PP4PK/3R4 w - - 5 35,h2g1,1001,19,0,1001-1500
6k1/6p1/7p/1Q6/p4q2/7P/PP4P1/3R2K1 b - - 6 35,f4e3,-1,3,0,
6k1/6p1/7p/1Q6/p7/4q2P/PP4P1/3R2K1 w - - 7 36,g1h2,1001,3,0,1001-1500
6k1/6p1/7p/1Q6/p7/4q2P/PP4PK/3R4 b - - 8 36,e3f4,-1,13,0,
6k1/6p1/7p/1Q6/p4q2/7P/PP4PK/3R4 w - - 9 37,h2g1,1001,6,0,1001-1500
6k1/6p1/7p/1Q6/p4q2/7P/PP4P1/3R2K1 b - - 10 37,f4e3,-1,16,0,
6k1/6p1/7p/1Q6/p7/4q2P/PP4P1/3R2K1 w - - 11 38,g1h1,1001,47,1,1001-1500
6k1/6p1/7p/1Q6/p7/4q2P/PP4P1/3R3K b - - 12 38,e3e7,-1,19,1,
6k1/4q1p1/7p/1Q6/p7/7P/PP4P1/3R3K w - - 13 39,b5a4,1001,33,0,1001-1500
6k1/4q1p1/7p/8/Q7/7P/PP4P1/3R3K b - - 0 39,e7g5,-1,19,1,
6k1/6p1/7p/6q1/Q7/7P/PP4P1/3R3K w - - 1 40,a4e8,1001,28,0,1001-1500
4Q1k1/6p1/7p/6q1/8/7P/PP4P1/3R3K b - - 2 40,g8h7,-1,11,1,
4Q3/6pk/7p/6q1/8/7P/PP4P1/3R3K w - - 3 41,b2b4,1001,28,1,1001-1500
4Q3/6pk/7p/6q1/1P6/7P/P5P1/3R3K b - - 0 41,g5g3,-1,300,0,
4Q3/6pk/7p/8/1P6/6qP/P5P1/3R3K w - - 1 42,e8e4,1001,4,1,1001-1500
8/6pk/7p/8/1P2Q3/6qP/P5P1/3R3K b - - 2 42,g7g6,-1,1135,0,
8/7k/6pp/8/1P2Q3/6qP/P5P1/3R3K w - - 0 43,e4e7,1001,0,1,1001-1500
8/4Q2k/6pp/8/1P6/6qP/P5P1/3R3K b - - 1 43,h7g8,-1,0,0,
6k1/4Q3/6pp/8/1P6/6qP/P5P1/3R3K w - - 2 44,d1d8,1001,0,1,1001-1500
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,1001,4,0,1001-1500
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e7e5,-1,11,0,
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d2d4,1001,37,0,1001-1500
rnbqkbnr/pppp1ppp/8/4p3/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,e5d4,-1,2,0,
rnbqkbnr/pppp1ppp/8/8/3pP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,d1d4,1001,16,0,1001-1500
rnbqkbnr/pppp1ppp/8/8/3QP3/8/PPP2PPP/RNB1KBNR b KQkq - 0 3,b8c6,-1,3,0,
r1bqkbnr/pppp1ppp/2n5/8/3QP3/8/PPP2PPP/RNB1KBNR w KQkq - 1 4,d4d3,1001,17,0,1001-1500
r1bqkbnr/pppp1ppp/2n5/8/4P3/3Q4/PPP2PPP/RNB1KBNR b KQkq - 2 4,b7b6,-1,120,0,
r1bqkbnr/p1pp1ppp/1pn5/8/4P3/3Q4/PPP2PPP/RNB1KBNR w KQkq - 0 5,f1e2,1001,67,0,1001-1500
r1bqkbnr/p1pp1ppp/1pn5/8/4P3/3Q4/PPP1BPPP/RNB1K1NR b KQkq - 1 5,f8c5,-1,24,0,
r1bqk1nr/p1pp1ppp/1pn5/2b5/4P3/3Q4/PPP1BPPP/RNB1K1NR w KQkq - 2 6,c1e3,1001,41,0,1001-1500
r1bqk1nr/p1pp1ppp/1pn5/2b5/4P3/3QB3/PPP1BPPP/RN2K1NR b KQkq - 3 6,c5e3,-1,22,0,
r1bqk1nr/p1pp1ppp/1pn5/8/4P3/3Qb3/PPP1BPPP/RN2K1NR w KQkq - 0 7,d3e3,1001,3,0,1001-1500
r1bqk1nr/p1pp1ppp/1pn5/8/4P3/4Q3/PPP1BPPP/RN2K1NR b KQkq - 0 7,d7d6,-1,74,0,
r1bqk1nr/p1p2ppp/1pnp4/8/4P3/4Q3/PPP1BPPP/RN2K1NR w KQkq - 0 8,c2c3,1001,134,0,1001-1500
r1bqk1nr/p1p2ppp/1pnp4/8/4P3/2P1Q3/PP2BPPP/RN2K1NR b KQkq - 0 8,g8e7,-1,9,0,
r1bqk2r/p1p1nppp/1pnp4/8/4P3/2P1Q3/PP2BPPP/RN2K1NR w KQkq - 1 9,c3c4,1001,59,0,1001-1500
r1bqk2r/p1p1nppp/1pnp4/8/2P1P3/4Q3/PP2BPPP/RN2K1NR b KQkq - 0 9,c6e5,-1,111,0,
r1bqk2r/p1p1nppp/1p1p4/4n3/2P1P3/4Q3/PP2BPPP/RN2K1NR w KQkq - 1 10,b2b3,1001,64,0,1001-1500
r1bqk2r/p1p1nppp/1p1p4/4n3/2P1P3/1P2Q3/P3BPPP/RN2K1NR b KQkq - 0 10,e8g8,-1,1,0,
r1bq1rk1/p1p1nppp/1p1p4/4n3/2P1P3/1P2Q3/P3BPPP/RN2K1NR w KQ - 1 11,b1c3,1001,15,1,1001-1500
r1bq1rk1/p1p1nppp/1p1p4/4n3/2P1P3/1PN1Q3/P3BPPP/R3K1NR b KQ - 2 11,f7f5,-1,12,1,
r1bq1rk1/p1p1n1pp/1p1p4/4np2/2P1P3/1PN1Q3/P3BPPP/R3K1NR w KQ - 0 12,f2f4,1001,4,1,1001-1500
r1bq1rk1/p1p1n1pp/1p1p4/4np2/2P1PP2/1PN1Q3/P3B1PP/R3K1NR b KQ - 0 12,e5d7,-1,6,1,
r1bq1rk1/p1pnn1pp/1p1p4/5p2/2P1PP2/1PN1Q3/P3B1PP/R3K1NR w KQ - 1 13,e2f3,1001,4,1,1001-1500
r1bq1rk1/p1pnn1pp/1p1p4/5p2/2P1PP2/1PN1QB2/P5PP/R3K1NR b KQ - 2 13,f5e4,-1,9,1,
r1bq1rk1/p1pnn1pp/1p1p4/8/2P1pP2/1PN1QB2/P5PP/R3K1NR w KQ - 0 14,f3e4,1001,2,0,1001-1500
r1bq1rk1/p1pnn1pp/1p1p4/8/2P1BP2/1PN1Q3/P5PP/R3K1NR b KQ - 0 14,a8b8,-1,4,1,
1rbq1rk1/p1pnn1pp/1p1p4/8/2P1BP2/1PN1Q3/P5PP/R3K1NR w KQ - 1 15,g1f3,1001,7,0,1001-1500
1rbq1rk1/p1pnn1pp/1p1p4/8/2P1BP2/1PN1QN2/P5PP/R3K2R b KQ - 2 15,d7f6,-1,14,1,
1rbq1rk1/p1p1n1pp/1p1p1n2/8/2P1BP2/1PN1QN2/P5PP/R3K2R w KQ - 3 16,e1g1,1001,26,1,1001-1500
1rbq1rk1/p1p1n1pp/1p1p1n2/8/2P1BP2/1PN1QN2/P5PP/R4RK1 b - - 4 16,e7f5,-1,19,1,
1rbq1rk1/p1p3pp/1p1p1n2/5n2/2P1BP2/1PN1QN2/P5PP/R4RK1 w - - 5 17,e4f5,1001,7,1,1001-1500
1rbq1rk1/p1p3pp/1p1p1n2/5B2/2P2P2/1PN1QN2/P5PP/R4RK1 b - - 0 17,c8f5,-1,19,1,
1r1q1rk1/p1p3pp/1p1p1n2/5b2/2P2P2/1PN1QN2/P5PP/R4RK1 w - - 0 18,f3d4,1001,5,1,1001-1500
1r1q1rk1/p1p3pp/1p1p1n2/5b2/2PN1P2/1PN1Q3/P5PP/R4RK1 b - - 1 18,f8e8,-1,24,0,
1r1qr1k1/p1p3pp/1p1p1n2/5b2/2PN1P2/1PN1Q3/P5PP/R4RK1 w - - 2 19,e3g3,1001,17,0,1001-1500
1r1qr1k1/p1p3pp/1p1p1n2/5b2/2PN1P2/1PN3Q1/P5PP/R4RK1 b - - 3 19,f6e4,-1,4,0,
1r1qr1k1/p1p3pp/1p1p4/5b2/2PNnP2/1PN3Q1/P5PP/R4RK1 w - - 4 20,g3e3,1001,0,1,1001-1500
1r1qr1k1/p1p3pp/1p1p4/5b2/2PNnP2/1PN1Q3/P5PP/R4RK1 b - - 5 20,e4c3,-1,0,0,
1r1qr1k1/p1p3pp/1p1p4/5b2/2PN1P2/1Pn1Q3/P5PP/R4RK1 w - - 0 21,e3c3,1001,4,1,1001-1500
1r1qr1k1/p1p3pp/1p1p4/5b2/2PN1P2/1PQ5/P5PP/R4RK1 b - - 0 21,d8f6,-1,14,0,
1r2r1k1/p1p3pp/1p1p1q2/5b2/2PN1P2/1PQ5/P5PP/R4RK1 w - - 1 22,d4b5,1001,3,1,1001-1500
1r2r1k1/p1p3pp/1p1p1q2/1N3b2/2P2P2/1PQ5/P5PP/R4RK1 b - - 2 22,f6c3,-1,7,1,
1r2r1k1/p1p3pp/1p1p4/1N3b2/2P2P2/1Pq5/P5PP/R4RK1 w - - 0 23,b5c3,1001,3,1,1001-1500
1r2r1k1/p1p3pp/1p1p4/5b2/2P2P2/1PN5/P5PP/R4RK1 b - - 0 23,g8f7,-1,3,1,
1r2r3/p1p2kpp/1p1p4/5b2/2P2P2/1PN5/P5PP/R4RK1 w - - 1 24,c3d5,1001,26,0,1001-1500
1r2r3/p1p2kpp/1p1p4/3N1b2/2P2P2/1P6/P5PP/R4RK1 b - - 2 24,c7c6,-1,7,1,
1r2r3/p4kpp/1ppp4/3N1b2/2P2P2/1P6/P5PP/R4RK1 w - - 0 25,d5c7,1001,149,0,1001-1500
1r2r3/p1N2kpp/1ppp4/5b2/2P2P2/1P6/P5PP/R4RK1 b - - 1 25,e8e2,-1,5,1,
1r6/p1N2kpp/1ppp4/5b2/2P2P2/1P6/P3r1PP/R4RK1 w - - 2 26,c7a6,1001,29,1,1001-1500
1r6/p4kpp/Nppp4/5b2/2P2P2/1P6/P3r1PP/R4RK1 b - - 3 26,b8e8,-1,32,1,
4r3/p4kpp/Nppp4/5b2/2P2P2/1P6/P3r1PP/R4RK1 w - - 4 27,f1f2,1001,6,1,1001-1500
4r3/p4kpp/Nppp4/5b2/2P2P2/1P6/P3rRPP/R5K1 b - - 5 27,e2e1,-1,17,1,
4r3/p4kpp/Nppp4/5b2/2P2P2/1P6/P4RPP/R3r1K1 w - - 6 28,f2f1,1001,10,1,1001-1500
4r3/p4kpp/Nppp4/5b2/2P2P2/1P6/P5PP/R3rRK1 b - - 7 28,e1a1,-1,3,1,
4r3/p4kpp/Nppp4/5b2/2P2P2/1P6/P5PP/r4RK1 w - - 0 29,f1a1,1001,15,1,1001-1500
4r3/p4kpp/Nppp4/5b2/2P2P2/1P6/P5PP/R5K1 b - - 0 29,e8e2,-1,10,1,
8/p4kpp/Nppp4/5b2/2P2P2/1P6/P3r1PP/R5K1 w - - 1 30,g1f1,1001,11,1,1001-1500
8/p4kpp/Nppp4/5b2/2P2P2/1P6/P3r1PP/R4K2 b - - 2 30,e2b2,-1,12,1,
8/p4kpp/Nppp4/5b2/2P2P2/1P6/Pr4PP/R4K2 w - - 3 31,a1e1,1001,25,1,1001-1500
8/p4kpp/Nppp4/5b2/2P2P2/1P6/Pr4PP/4RK2 b - - 4 31,d6d5,-1,6,1,
8/p4kpp/Npp5/3p1b2/2P2P2/1P6/Pr4PP/4RK2 w - - 0 32,a6b8,1001,27,1,1001-1500
1N6/p4kpp/1pp5/3p1b2/2P2P2/1P6/Pr4PP/4RK2 b - - 1 32,f5d3,-1,50,1,
1N6/p4kpp/1pp5/3p4/2P2P2/1P1b4/Pr4PP/4RK2 w - - 2 33,f1g1,1001,12,1,1001-1500
1N6/p4kpp/1pp5/3p4/2P2P2/1P1b4/Pr4PP/4R1K1 b - - 3 33,d3e4,-1,0,1,
1N6/p4kpp/1pp5/3p4/2P1bP2/1P6/Pr4PP/4R1K1 w - - 4 34,b8c6,1001,96,0,1001-1500
8/p4kpp/1pN5/3p4/2P1bP2/1P6/Pr4PP/4R1K1 b - - 0 34,b2g2,-1,11,1,
8/p4kpp/1pN5/3p4/2P1bP2/1P6/P5rP/4R1K1 w - - 0 35,g1f1,1001,13,1,1001-1500
8/p4kpp/1pN5/3p4/2P1bP2/1P6/P5rP/4RK2 b - - 1 35,g2a2,-1,5,1,
8/p4kpp/1pN5/3p4/2P1bP2/1P6/r6P/4RK2 w - - 0 36,c6e5,1001,2,0,1001-1500
8/p4kpp/1p6/3pN3/2P1bP2/1P6/r6P/4RK2 b - - 1 36,f7e6,-1,2,1,
8/p5pp/1p2k3/3pN3/2P1bP2/1P6/r6P/4RK2 w - - 2 37,c4d5,1001,5,1,1001-1500
8/p5pp/1p2k3/3PN3/4bP2/1P6/r6P/4RK2 b - - 0 37,e6d5,-1,5,1,
8/p5pp/1p6/3kN3/4bP2/1P6/r6P/4RK2 w - - 0 38,e1d1,1001,3,0,1001-1500
8/p5pp/1p6/3kN3/4bP2/1P6/r6P/3R1K2 b - - 1 38,d5e6,-1,18,1,
8/p5pp/1p2k3/4N3/4bP2/1P6/r6P/3R1K2 w - - 2 39,h2h4,1001,22,1,1001-1500
8/p5pp/1p2k3/4N3/4bP1P/1P6/r7/3R1K2 b - - 0 39,e6f5,-1,7,1,
8/p5pp/1p6/4Nk2/4bP1P/1P6/r7/3R1K2 w - - 1 40,d1d4,1001,30,1,1001-1500
8/p5pp/1p6/4Nk2/3RbP1P/1P6/r7/5K2 b - - 2 40,f5f4,-1,4,1,
8/p5pp/1p6/4N3/3Rbk1P/1P6/r7/5K2 w - - 0 41,e5c4,1001,0,1,1001-1500
8/p5pp/1p6/8/2NRbk1P/1P6/r7/5K2 b - - 1 41,f4f3,-1,271,0,
8/p5pp/1p6/8/2NRb2P/1P3k2/r7/5K2 w - - 2 42,c4d2,1001,62,1,1001-1500
8/p5pp/1p6/8/3Rb2P/1P3k2/r2N4/5K2 b - - 3 42,f3e3,-1,2,1,
8/p5pp/1p6/8/3Rb2P/1P2k3/r2N4/5K2 w - - 4 43,d4e4,1001,20,0,1001-1500
8/p5pp/1p6/8/4R2P/1P2k3/r2N4/5K2 b - - 0 43,e3d2,-1,646,0,
8/p5pp/1p6/8/4R2P/1P6/r2k4/5K2 w - - 0 44,e4e2,1001,9,1,1001-1500
8/p5pp/1p6/8/7P/1P6/r2kR3/5K2 b - - 1 44,d2c3,-1,12,1,
8/p5pp/1p6/8/7P/1Pk5/r3R3/5K2 w - - 2 45,e2a2,1001,0,1,1001-1500
8/p5pp/1p6/8/7P/1Pk5/R7/5K2 b - - 0 45,c3b3,-1,181,0,
8/p5pp/1p6/8/7P/1k6/R7/5K2 w - - 0 46,a2a7,1001,23,1,1001-1500
8/R5pp/1p6/8/7P/1k6/8/5K2 b - - 0 46,h7h5,-1,2584,1,
8/R5p1/1p6/7p/7P/1k6/8/5K2 w - - 0 47,a7g7,1001,2761,1,1001-1500
8/6R1/1p6/7p/7P/1k6/8/5K2 b - - 0 47,b6b5,-1,2713,1,
8/6R1/8/1p5p/7P/1k6/8/5K2 w - - 0 48,f1e2,1001,2,1,1001-1500
8/6R1/8/1p5p/7P/1k6/4K3/8 b - - 1 48,b3c3,-1,1,1,
8/6R1/8/1p5p/7P/2k5/4K3/8 w - - 2 49,g7g5,1001,73,1,1001-1500
8/8/8/1p4Rp/7P/2k5/4K3/8 b - - 3 49,b5b4,-1,6,0,
8/8/8/6Rp/1p5P/2k5/4K3/8 w - - 0 50,g5c5,1001,23,1,1001-1500
8/8/8/2R4p/1p5P/2k5/4K3/8 b - - 1 50,c3d4,-1,31,1,
8/8/8/2R4p/1p1k3P/8/4K3/8 w - - 2 51,c5h5,1001,83,1,1001-1500
8/8/8/7R/1p1k3P/8/4K3/8 b - - 0 51,d4c3,-1,84,1,
8/8/8/7R/1p5P/2k5/4K3/8 w - - 1 52,h5c5,1001,34,1,1001-1500
8/8/8/2R5/1p5P/2k5/4K3/8 b - - 2 52,c3d4,-1,54,1,
8/8/8/2R5/1p1k3P/8/4K3/8 w - - 3 53,c5b5,1001,6,1,1001-1500
8/8/8/1R6/1p1k3P/8/4K3/8 b - - 4 53,d4c4,-1,15,1,
8/8/8/1R6/1pk4P/8/4K3/8 w - - 5 54,b5b4,1001,8,1,1001-1500
8/8/8/8/1Rk4P/8/4K3/8 b - - 0 54,c4b4,-1,3,1,
8/8/8/8/1k5P/8/4K3/8 w - - 0 55,h4h5,1001,36,1,1001-1500
8/8/8/7P/1k6/8/4K3/8 b - - 0 55,b4c5,-1,22,0,
8/8/8/2k4P/8/8/4K3/8 w - - 1 56,h5h6,1001,70,1,1001-1500
8/8/7P/2k5/8/8/4K3/8 b - - 0 56,c5c6,-1,3416,1,
8/8/2k4P/8/8/8/4K3/8 w - - 1 57,h6h7,1001,3394,1,1001-1500
8/7P/2k5/8/8/8/4K3/8 b - - 0 57,c6c5,-1,5,1,
8/7P/8/2k5/8/8/4K3/8 w - - 1 58,h7h8q,1001,0,1,1001-1500
7Q/8/8/2k5/8/8/4K3/8 b - - 0 58,c5c4,-1,5,0,
7Q/8/8/8/2k5/8/4K3/8 w - - 1 59,h8e5,1001,1,1,1001-1500
8/8/8/4Q3/2k5/8/4K3/8 b - - 2 59,c4b3,-1,2,1,
8/8/8/4Q3/8/1k6/4K3/8 w - - 3 60,e5b5,1001,1,1,1001-1500
8/8/8/1Q6/8/1k6/4K3/8 b - - 4 60,b3c3,-1,0,1,
8/8/8/1Q6/8/2k5/4K3/8 w - - 5 61,b5c5,1001,1,1,1001-1500
8/8/8/2Q5/8/2k5/4K3/8 b - - 6 61,c3b3,-1,0,0,
8/8/8/2Q5/8/1k6/4K3/8 w - - 7 62,e2d3,1001,0,1,1001-1500
8/8/8/2Q5/8/1k1K4/8/8 b - - 8 62,b3a4,-1,1,1,
8/8/8/2Q5/k7/3K4/8/8 w - - 9 63,d3c4,1001,2,0,1001-1500
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,1002,4,0,1001-1500
